[ 2025-01-03 18:52:48,000 ] 20 root - INFO - Initiate the data ingestion
[ 2025-01-03 18:52:55,902 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-03 18:52:55,902 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-03 18:52:55,902 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-03 18:52:56,028 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-03 18:52:56,041 ] 22 root - INFO - Data Initiation Completed
[ 2025-01-03 18:52:56,064 ] 26 root - INFO - Initiate the data Validation
[ 2025-01-03 18:52:56,136 ] 32 root - INFO - Required number of columns:2
[ 2025-01-03 18:52:56,136 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-03 18:52:56,136 ] 32 root - INFO - Required number of columns:2
[ 2025-01-03 18:52:56,136 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-03 18:52:56,493 ] 28 root - INFO - data Validation Completed
[ 2025-01-03 18:52:56,493 ] 31 root - INFO - data Transformation started
[ 2025-01-03 18:52:56,493 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-03 18:52:56,493 ] 65 root - INFO - Starting data transformation
[ 2025-01-03 18:52:56,564 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-03 18:52:56,564 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-03 18:52:56,597 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-03 18:52:56,607 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-03 18:52:56,607 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-03 18:52:56,607 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-03 18:52:56,613 ] 35 root - INFO - data Transformation completed
[ 2025-01-03 18:52:56,613 ] 37 root - INFO - Model Training sstared
